fold,validation_start,validation_end,model,rmspe,wape_all_rows,bias_all_rows_pct,mae_all_rows,wape_open_rows,bias_open_rows_pct,mae_open_rows,evaluation_rows,open_rows,fit_seconds
Fold 1,2015-03-10,2015-04-26,Recent 365-day Store + weekday + Promo,0.14791719911998052,0.10449285785275779,-2.5248310173244257,585.4433640493049,0.10449285785275779,-2.5248310173244257,716.3186606133778,41088,33581,0.0
Fold 1,2015-03-10,2015-04-26,Residual HGB,0.1385151291732203,0.09799464555973678,-3.1852515317324888,549.0357535837791,0.09799464555973678,-3.185251531732489,671.7721641181118,41088,33581,3.01553530000092
Fold 1,2015-03-10,2015-04-26,50% baseline / 50% residual,0.13899867518944453,0.09790508028128217,-2.8550412745284572,548.5339451444466,0.09790508028128217,-2.8550412745284572,671.1581768885686,41088,33581,3.01553530000092
Fold 1,2015-03-10,2015-04-26,25% baseline / 75% residual,0.1376606404626273,0.09701920868162656,-3.0201464031304734,543.5706619107837,0.09701920868162656,-3.0201464031304734,665.0853564989213,41088,33581,3.01553530000092
Fold 2,2015-04-27,2015-06-13,Recent 365-day Store + weekday + Promo,0.151144612201456,0.10452162419326007,-5.354643589544537,621.2522226499673,0.10452162419326007,-5.354643589544535,775.1597729803175,41088,32930,0.0
Fold 2,2015-04-27,2015-06-13,Residual HGB,0.20634850065085067,0.1476123107969107,-0.8791224115738707,877.3732410005159,0.1476123107969107,-0.8791224115738708,1094.7316041976678,41088,32930,3.872346699994523
Fold 2,2015-04-27,2015-06-13,50% baseline / 50% residual,0.15818552125430016,0.10981811230053638,-3.1168830005592034,652.7333160053527,0.10981811230053638,-3.1168830005592034,814.4399176443344,41088,32930,3.872346699994523
Fold 2,2015-04-27,2015-06-13,25% baseline / 75% residual,0.17854634278388404,0.12576948885121864,-1.9980027060665366,747.5445879591322,0.12576948885121864,-1.9980027060665366,932.739508960365,41088,32930,3.872346699994523
Fold 3,2015-06-14,2015-07-31,Recent 365-day Store + weekday + Promo,0.1344845651934801,0.0967113968456878,-0.30721684881789824,587.0269796509741,0.0967113968456878,-0.30721684881789824,684.0157829930016,41088,35262,0.0
Fold 3,2015-06-14,2015-07-31,Residual HGB,0.1552880557983285,0.10967606472137363,5.228432916801787,665.721012344818,0.10967606472137363,5.228432916801787,775.7116713522738,41088,35262,2.8633891999925254
Fold 3,2015-06-14,2015-07-31,50% baseline / 50% residual,0.13533393080210815,0.09415470196446891,2.4606080339919445,571.50813778784,0.09415470196446891,2.4606080339919445,665.932912637592,41088,35262,2.8633891999925254
Fold 3,2015-06-14,2015-07-31,25% baseline / 75% residual,0.14324309734839483,0.10000560553949064,3.844520475396866,607.0224449522209,0.10000560553949064,3.844520475396866,707.3149060801104,41088,35262,2.8633891999925254
